CULTIVOS;MEDIA-superficie;2021-superficie;2022-superficie;Variacion-100-superficie;MEDIA-produccion;2021-produccion;2022-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.237;15.282;15.021;98,3;121.082;115.512;90.848;78,6
 TRIGO;4.399;4.889;5.100;104,3;9.090;15.674;9.931;63,4
 CEBADA;16.487;14.372;13.085;91;28.620;40.919;23.906;58,4
 MAÍZ;579;273;352;128,9;5.455;2.571;4.040;157,1
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;2.100;2.371;2.402;101,3;58.714;77.085;73.388;95,2
 CHUFA;495;608;610;100,3;8.149;9.485;9.091;95,8
HORTALIZAS;;;;;;;;
ALCACHOFA;4.020;4.570;4.853;106,2;57.299;68.681;75.032;109,2
BERENJENA;235;249;261;104,8;10.338;12.326;12.742;103,4
BRÓCULI;2.325;3.133;3.198;102,1;49.934;67.513;68.806;101,9
CEBOLLA;1.660;1.738;1.784;102,6;74.646;104.826;82.580;78,8
COL Y REPOLLO;1.099;1.718;1.821;106;41.226;67.313;74.931;111,3
COLIFLOR;1.173;1.446;1.464;101,2;28.352;36.499;37.982;104,1
ESCAROLA;424;537;540;100,6;11.869;15.051;16.333;108,5
ESPINACA;449;428;373;87,1;9.283;9.277;7.474;80,6
HABA VERDE;615;559;520;93;6.206;5.966;5.449;91,3
JUDÍA VERDE;408;382;259;67,8;6.236;5.476;4.341;79,3
LECHUGA;2.011;2.011;1.714;85,2;57.007;69.070;57.485;83,2
MELÓN;1.618;1.374;1.201;87,4;40.518;41.676;35.108;84,2
PEPINO;156;147;138;93,9;6.188;6.345;5.915;93,2
PIMIENTO;756;891;918;103;51.714;70.879;55.868;78,8
SANDÍA;1.652;1.577;1.501;95,2;65.056;76.470;70.246;91,9
TOMATE;1.199;1.101;1.067;96,9;73.071;67.932;63.029;92,8
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.714;1.424;1.405;98,7;81.383;62.638;61.755;98,6
 FLORES (1);121;79;78;98,7;5.613;2.951;2.901;98,3
 P. ORNAMENTAL (1);1.694;1.870;2.185;116,8;67.084;97.516;115.659;118,6
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;72.033;70.662;71.648;101,4;1.639.904;1.645.814;1.416.555;86,1
 MANDARINO;80.031;69.527;64.852;93,3;1.529.452;1.337.836;1.226.795;91,7
 LIMONERO;11.236;16.392;17.367;105,9;267.034;265.372;242.830;91,5
FRUTALES;;;;;;;;
 MANZANA;876;576;530;92;9.586;6.988;4.323;61,9
 PERA;541;321;260;81;5.564;3.822;2.630;68,8
 NÍSPERO;1.192;1.057;1.079;102,1;15.580;15.728;14.030;89,2
 ALBARICOQUE;3.814;3.253;2.981;91,6;15.685;24.295;14.972;61,6
 CEREZA;2.746;2.522;2.605;103,3;5.699;6.977;3.313;47,5
 MELOCOTÓN (3);5.535;3.969;3.684;92,8;33.634;36.515;30.207;82,7
 CIRUELA;2.196;1.483;1.381;93,1;10.073;12.243;11.675;95,4
 GRANADA;3.328;3.716;3.678;99;45.288;58.859;56.724;96,4
 CAQUI;13.008;15.141;14.639;96,7;296.503;425.339;407.085;95,7
 AGUACATE;483;2.093;2.310;110,4;2.006;8.993;12.848;142,9
 ALMENDRA;95.682;92.408;91.400;98,9;34.938;33.297;33.786;101,5
VIÑEDO;;;;;;;;
 UVA DE MESA;5.955;5.457;5.317;97,4;88.806;100.046;97.231;97,2
 UVA DE VINIFICACIÓN;61.010;57.436;56.773;98,8;283.961;315.824;310.324;98,3
 VINO+MOSTO (4);;-;;;2.484,50;2.554,80;2.436,70;95,4
OLIVAR;;;;;;;;
 OLIVO;92.373;94.104;93.151;99;112.652;130.182;44.699;34,3
 ACEITE DE OLIVA;;-;;;22.710;21.742;8.586;39,5
OTROS CUTIVOS LEÑOSOS;;;;;;;;
