CULTIVOS;MEDIA-superficie;2020-superficie;2021-superficie;Variacion-100-superficie;MEDIA-produccion;2020-produccion;2021-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.213;15.447;15.282;98,9;121.335;114.848;115.512;100,6
 TRIGO;4.284;4.604;4.889;106,2;8.583;13.796;15.674;113,6
 CEBADA;16.682;14.138;14.372;101,7;27.973;39.783;40.919;102,9
 MAÍZ;603;320;273;85,3;5.954;3.214;2.571;80
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;2.037;2.407;2.371;98,5;56.253;61.317;77.085;125,7
 CHUFA;464;649;608;93,7;7.865;9.346;9.485;101,5
HORTALIZAS;;;;;;;;
ALCACHOFA;4.000;4.020;4.570;113,7;55.370;59.089;68.681;116,2
BERENJENA;227;251;249;99,2;9.701;12.702;12.326;97
BRÓCULI;2.204;2.983;3.133;105;45.819;68.331;67.513;98,8
CEBOLLA;1.563;1.812;1.738;95,9;70.916;66.702;104.826;157,2
COL Y REPOLLO;1.078;1.175;1.718;146,2;38.244;56.038;67.313;120,1
COLIFLOR;1.130;1.412;1.446;102,4;27.482;34.359;36.499;106,2
ESCAROLA;395;604;537;88,9;11.145;16.116;15.051;93,4
ESPINACA;423;438;428;97,7;8.780;8.781;9.277;105,6
HABA VERDE;605;634;559;88,2;6.005;6.669;5.966;89,5
JUDÍA VERDE;406;400;382;95,5;6.140;6.734;5.476;81,3
LECHUGA;2.009;2.052;2.011;98;55.244;68.450;69.070;100,9
MELÓN;1.640;1.439;1.374;95,5;40.336;38.549;41.676;108,1
PEPINO;156;153;147;96,1;5.998;6.722;6.345;94,4
PIMIENTO;740;839;891;106,2;51.658;69.808;70.879;101,5
SANDÍA;1.678;1.618;1.577;97,5;64.831;75.112;76.470;101,8
TOMATE;1.209;1.105;1.101;99,6;73.864;68.530;67.932;99,1
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.723;1.374;1.424;103,6;82.404;59.442;62.638;105,4
 FLORES (1);126;97;79;81,4;6.156;2.430;2.951;121,4
 P. ORNAMENTAL (1);1.679;1.761;1.870;106,2;66.463;78.602;97.516;124,1
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;72.617;70.509;70.662;100,2;1.642.244;1.595.844;1.609.337;100,8
 MANDARINO;81.985;71.395;69.527;97,4;1.544.967;1.590.515;1.337.837;84,1
 LIMONERO;10.750;15.108;16.392;108,5;255.108;304.165;268.079;88,1
FRUTALES;;;;;;;;
 MANZANA;934;604;576;95,4;9.938;6.113;6.988;114,3
 PERA;590;341;321;94,1;5.936;3.796;3.822;100,7
 NÍSPERO;1.224;1.025;1.057;103,1;15.992;13.509;15.728;116,4
 ALBARICOQUE;3.880;3.594;3.253;90,5;14.591;18.380;24.295;132,2
 CEREZA;2.753;2.494;2.522;101,1;5.845;2.145;6.977;325,3
 MELOCOTÓN (3);5.781;4.085;3.969;97,2;33.210;30.846;36.515;118,4
 CIRUELA;2.330;1.570;1.483;94,5;9.852;12.701;12.243;96,4
 GRANADA;3.157;3.761;3.716;98,8;42.664;51.325;58.859;114,7
 CAQUI;11.954;16.073;15.141;94,2;263.271;428.608;425.339;99,2
 AGUACATE;349;1.467;2.093;142,7;1.625;4.605;8.993;195,3
 ALMENDRA;96.667;93.441;92.408;98,9;36.047;29.571;33.297;112,6
VIÑEDO;;;;;;;;
 UVA DE MESA;6.145;5.494;5.457;99,3;85.507;111.640;100.046;89,6
 UVA DE VINIFICACIÓN;62.361;57.876;57.436;99,2;276.417;362.626;315.824;87,1
 VINO+MOSTO (4);;-;;;2.411,00;2.883,80;2.554,80;88,6
OLIVAR;;;;;;;;
